Date,Cyclist,M/Cycle,Car,Van,Rigid 2 Axle,Rigid 3 Axle,Rigid 4 Axle,3 Axle HGv,4 Axle HGV,5+Axle HGV,Bus,Total,Time,Location,,,,,,,,,,,,
2016-11-18,3,10,2668,2953,226,11,1,19,0,25,68,5984,07:00-19:00,Eastbound,,,,,,,,,,,,
2016-11-19,0,2,2066,2378,91,6,1,13,0,2,38,4597,07:00-19:00,Eastbound,,,,,,,,,,,,
2016-11-20,0,4,1654,2032,48,0,2,6,0,4,25,3775,07:00-19:00,Eastbound,,,,,,,,,,,,
2016-11-21,1,9,2501,3161,264,4,6,25,0,17,65,6053,07:00-19:00,Eastbound,,,,,,,,,,,,
2016-11-22,3,7,2463,3084,255,7,2,32,0,13,67,5933,07:00-19:00,Eastbound,,,,,,,,,,,,
2016-11-23,0,3,1869,2719,146,15,8,19,0,34,21,4834,07:00-19:00,Eastbound,,,,,,,,,,,,
2016-11-24,2,15,2501,2968,258,12,2,27,0,18,59,5862,07:00-19:00,Eastbound,,,,,,,,,,,,
2016-11-18,1,1,365,287,14,3,0,3,0,5,4,683,08:00 - 09:00,Eastbound,,,,,,,,,,,,
2016-11-19,0,0,104,106,8,1,0,1,0,0,0,220,08:00 - 09:00,Eastbound,,,,,,,,,,,,
2016-11-20,0,0,44,54,6,0,0,0,0,1,0,105,08:00 - 09:00,Eastbound,,,,,,,,,,,,
2016-11-21,1,0,317,359,20,1,1,6,0,2,2,709,08:00 - 09:00,Eastbound,,,,,,,,,,,,
2016-11-22,1,2,317,359,18,2,0,3,0,2,3,707,08:00 - 09:00,Eastbound,,,,,,,,,,,,
2016-11-23,0,0,94,119,14,0,2,1,0,7,1,238,08:00 - 09:00,Eastbound,,,,,,,,,,,,
2016-11-24,0,0,329,351,28,1,0,6,0,3,4,722,08:00 - 09:00,Eastbound,,,,,,,,,,,,
2016-11-18,0,2,347,415,16,0,1,0,0,0,2,783,17:00 - 18:00,Eastbound,,,,,,,,,,,,
2016-11-19,0,0,224,243,3,0,0,1,0,0,4,475,17:00 - 18:00,Eastbound,,,,,,,,,,,,
2016-11-20,0,1,171,196,3,0,1,0,0,0,3,375,17:00 - 18:00,Eastbound,,,,,,,,,,,,
2016-11-21,0,3,359,402,19,0,0,2,0,1,6,792,17:00 - 18:00,Eastbound,,,,,,,,,,,,
2016-11-22,0,1,377,407,16,0,0,0,0,0,2,803,17:00 - 18:00,Eastbound,,,,,,,,,,,,
2016-11-23,0,2,338,449,10,2,0,3,0,0,1,805,17:00 - 18:00,Eastbound,,,,,,,,,,,,
2016-11-24,0,3,355,392,16,0,0,2,0,0,3,771,17:00 - 18:00,Eastbound,,,,,,,,,,,,
2016-11-18,4,16,2471,2904,239,12,2,22,0,18,63,5751,07:00-19:00,Westbound,,,,,,,,,,,,
2016-11-19,0,2,1505,2816,122,5,1,14,0,4,50,4519,07:00-19:00,Westbound,,,,,,,,,,,,
2016-11-20,0,6,1406,2462,61,2,1,6,0,5,31,3980,07:00-19:00,Westbound,,,,,,,,,,,,
2016-11-21,4,5,2270,3109,272,8,2,29,0,17,75,5791,07:00-19:00,Westbound,,,,,,,,,,,,
2016-11-22,4,9,2222,3128,280,12,3,33,0,19,62,5772,07:00-19:00,Westbound,,,,,,,,,,,,
2016-11-23,6,13,2133,3153,151,15,7,24,0,30,22,5554,07:00-19:00,Westbound,,,,,,,,,,,,
2016-11-24,0,16,2166,3044,292,15,3,28,0,16,58,5638,07:00-19:00,Westbound,,,,,,,,,,,,
2016-11-18,1,2,265,240,19,1,0,4,0,1,3,536,08:00 - 09:00,Westbound,,,,,,,,,,,,
2016-11-19,0,0,73,117,15,1,0,2,0,1,3,212,08:00 - 09:00,Westbound,,,,,,,,,,,,
2016-11-20,0,0,25,62,2,0,0,0,0,0,2,91,08:00 - 09:00,Westbound,,,,,,,,,,,,
2016-11-21,0,0,228,251,16,0,0,4,0,2,7,508,08:00 - 09:00,Westbound,,,,,,,,,,,,
2016-11-22,0,0,209,289,19,1,0,4,0,2,3,527,08:00 - 09:00,Westbound,,,,,,,,,,,,
2016-11-23,2,1,375,592,17,2,0,1,0,0,1,991,08:00 - 09:00,Westbound,,,,,,,,,,,,
2016-11-24,0,1,207,257,25,3,0,2,0,0,4,499,08:00 - 09:00,Westbound,,,,,,,,,,,,
2016-11-18,0,3,363,337,16,2,0,1,0,0,3,725,17:00 - 18:00,Westbound,,,,,,,,,,,,
2016-11-19,0,1,208,367,8,0,0,0,0,0,5,589,17:00 - 18:00,Westbound,,,,,,,,,,,,
2016-11-20,0,1,127,209,5,0,0,0,0,0,2,344,17:00 - 18:00,Westbound,,,,,,,,,,,,
2016-11-21,0,0,311,346,15,1,0,3,0,0,4,680,17:00 - 18:00,Westbound,,,,,,,,,,,,
2016-11-22,0,0,347,352,10,0,0,2,0,0,4,715,17:00 - 18:00,Westbound,,,,,,,,,,,,
2016-11-23,0,1,154,221,14,0,0,0,0,1,0,391,17:00 - 18:00,Westbound,,,,,,,,,,,,
2016-11-24,0,1,310,345,17,0,0,1,0,0,2,676,17:00 - 18:00,Westbound,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
